pin_id,pin_type,target_aesthetic,headline,subheadline,cta_text,pinterest_title,pinterest_description,target_url,suggested_visual_style,keywords,board_name
"P001","quiz invitation","all","What’s Your Room Aesthetic?","Take the free quiz and find your dream room style","Start the quiz","What’s Your Room Aesthetic? Free Quiz","Not sure which bedroom look actually feels like you? Take this free 12-question room aesthetic quiz for a personalized palette, decor direction, and three easy first steps. No email required.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Warm cream room moodboard with six color swatches and editorial serif type","room aesthetic quiz; aesthetic room ideas; bedroom ideas","Room Aesthetic Ideas"
"P002","quiz invitation","all","Take the Free Room Quiz","12 quick questions. One room style that feels like you.","Find my style","Free Room Aesthetic Quiz for Your Dream Bedroom","Choose what you love and get a room style made for your real space—from a dorm room to a first apartment. Discover your colors, decor pieces, and first makeover steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six rounded result cards on an oatmeal background","room aesthetic quiz; room makeover; bedroom ideas","Room Aesthetic Ideas"
"P003","quiz invitation","all","Find Your Dream Room Style","Your Pinterest board is trying to tell you something","Take the quiz","Find Your Dream Room Style in 12 Questions","Your saved rooms may look different, but there is probably a style connecting them. This free room quiz helps you find it and gives you a practical makeover direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Pinterest-board collage with a clean centered headline","room aesthetic quiz; dream room; aesthetic room ideas","Dream Bedroom Inspiration"
"P004","quiz invitation","all","Your Room Style Says a Lot","Are you calm and minimal or bold and layered?","Find out free","What Does Your Dream Room Style Say About You?","Pick colors, lighting, textures, and your perfect Saturday to reveal your room aesthetic. Get a free result with decor ideas for a bedroom, dorm, or small apartment.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Split calm-neutral and rich-jewel-tone room concept","room style quiz; bedroom aesthetic; room decor","Room Aesthetic Ideas"
"P005","quiz invitation","all","Build Your Perfect Room Vibe","Start with your style—not a random shopping cart","Take the quiz","Build Your Perfect Room Vibe Before You Shop","Before buying more decor, find the palette and room mood that fit you. This quick free quiz gives you one clear aesthetic and three places to start.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Moodboard sheet with palette chips, lamp, bedding, and checklist","room makeover; room decor checklist; room aesthetic quiz","Room Makeover Tips"
"P006","quiz invitation","all","Which Room Are You Saving?","Pick the mood you want to come home to","Reveal my result","Which Room Aesthetic Are You Always Saving?","Cozy neutrals, pastel details, old-library warmth, earthy boho, or bold maximalism? Answer 12 fun questions and reveal the style behind your Pinterest saves.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six small room windows arranged like saved Pins","Pinterest room ideas; room aesthetic quiz; bedroom inspiration","Room Aesthetic Ideas"
"P007","quiz invitation","all","Your Dream Room Has a Type","Let’s give your saved ideas a name","Name my aesthetic","Give Your Dream Room Aesthetic a Name","If your room inspiration feels all over the place, this free quiz can help. Find one clear style direction plus colors, decor, and easy first steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Editorial type over layered paper moodboard scraps","room aesthetic quiz; dream room ideas; bedroom ideas","Dream Bedroom Inspiration"
"P008","quiz invitation","all","Pick a Lamp. Get a Room Style.","The fun free quiz for decor lovers","Take the quiz","Pick Your Favorites and Reveal Your Room Style","Choose your ideal lamp, color palette, wall decor, and room mood. Your answers reveal one of six aesthetics and a practical mini makeover plan.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six illustrated lamp silhouettes with warm shadows","room decor quiz; room aesthetic quiz; bedroom lighting","Room Aesthetic Ideas"
"P009","quiz invitation","all","Stop Guessing Your Aesthetic","Find the room style that fits your real life","Start free","Find a Room Aesthetic That Fits Your Real Life","Pretty inspiration is easier to use when you know your direction. Take the free room aesthetic quiz for colors, decor ideas, and three realistic starting steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Clean plan sheet layered over a cozy small bedroom","room aesthetic quiz; room makeover plan; small bedroom ideas","Room Makeover Tips"
"P010","quiz invitation","all","6 Room Aesthetics. Which Is Yours?","From Cozy Minimalist to Moody Maximalist","Find my match","Which of These 6 Room Aesthetics Is Yours?","Discover whether your dream room is Cozy Minimalist, Clean Girl, Dark Academia, Soft Girl, Modern Boho, or Moody Maximalist. The quiz is free and needs no email.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six-color vertical palette with aesthetic names","room aesthetic quiz; room styles; aesthetic room ideas","Room Aesthetic Ideas"
"P011","result teaser","Cozy Minimalist","Are You a Cozy Minimalist?","Warm neutrals. Soft texture. Room to breathe.","Take the free quiz","Cozy Minimalist Bedroom Style: Is It Yours?","You may be a Cozy Minimalist if you love calm color, gentle lighting, and clear surfaces that still feel warm. Take the free quiz to see if this is your room result.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Cream bedding, paper lamp, pale wood, and oatmeal swatches","cozy minimalist bedroom; cozy room decor; neutral bedroom","Cozy Minimalist Decor"
"P012","result teaser","Cozy Minimalist","Your Calm Room Formula","One neutral base + warm light + touchable texture","Find my style","The Simple Formula for a Cozy Minimalist Room","A cozy room does not need more stuff. Start with one warm neutral, add soft lighting and texture, then protect the breathing room. Find your full room aesthetic with the free quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Three-part formula card in cream and warm taupe","cozy room decor; minimalist bedroom; room makeover","Cozy Minimalist Decor"
"P013","result teaser","Cozy Minimalist","Cozy, Not Cluttered","The soft minimalist look for small bedrooms","See my result","How to Make a Small Bedroom Cozy Without Clutter","Soft bedding, a warm lamp, woven storage, and a simple palette can make a small room feel calm—not empty. Take the quiz for a personalized room direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Small neutral bedroom with four labeled details","small bedroom ideas; cozy room decor; minimalist decor","Small Bedroom Ideas"
"P014","result teaser","Cozy Minimalist","Your Room Needs a Soft Reset","Clear one surface. Pick one neutral. Add one warm light.","Take the quiz","Try This Soft Cozy Room Reset","Want a calmer bedroom without starting over? These three Cozy Minimalist steps are a useful reset. Take the free quiz to find out whether this style really matches you.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Before-and-after styled surface without exaggerated claims","room reset; cozy bedroom; room decor checklist","Room Makeover Tips"
"P015","result teaser","Cozy Minimalist","The Neutral Room That Isn’t Boring","Texture does the decorating","Find your aesthetic","How to Make a Neutral Bedroom Feel Warm","Layer linen, knits, a soft rug, and pale wood instead of adding random colors. Discover your best palette and room style with the free aesthetic quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Close-up texture grid with linen, knit, wood, and rug","neutral bedroom ideas; cozy minimalist; bedroom texture","Cozy Minimalist Decor"
"P016","result teaser","Clean Girl Room","Is This Your Clean Girl Room Era?","Fresh bedding. Clear desk. Soft morning light.","Find out free","Clean Girl Room Aesthetic: Find Your Result","If your dream room feels bright, organized, and ready for a good morning, Clean Girl Room may be your style. Take the free quiz and get a personalized direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Bright cream desk and bedding with pale blush accents","clean girl room; organized bedroom; aesthetic room ideas","Clean Girl Room Ideas"
"P017","result teaser","Clean Girl Room","Reset These 2 Tiny Zones","Your desk and bedside area change everything","Take the quiz","The Two-Zone Clean Girl Room Reset","Start with the surfaces you see every morning: your desk and bedside area. Matching organizers and one clear routine corner create a polished feel. Find your aesthetic with the free quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Split desk and bedside vignette with simple labels","clean desk setup; room reset; bedroom organization","Clean Girl Room Ideas"
"P018","result teaser","Clean Girl Room","Clean Room Energy, Minus the Pressure","Pretty organization for real everyday stuff","Find my style","Clean Girl Room Ideas That Work in Real Life","A clean-looking room is easier when daily items have a simple home. Use trays, matching storage, and clear surfaces—then take the quiz for your personal room style.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Approachable desk organizer flat lay in cream and gold","bedroom organization; clean girl room; dorm organization","Clean Girl Room Ideas"
"P019","result teaser","Clean Girl Room","Your Morning Routine Needs a Corner","One mirror. One tray. Zero surface chaos.","See my aesthetic","Create a Simple Self-Care Corner in Your Bedroom","You do not need a full vanity to create a calm routine zone. A small mirror, tray, and good light can be enough. Take the free quiz for your complete room direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Small renter-friendly self-care corner","self care corner; clean girl room; small bedroom ideas","Clean Girl Room Ideas"
"P020","result teaser","Clean Girl Room","A Fresh Room Starts Here","Clear the desk before you buy more decor","Take the quiz","Start Your Fresh Bedroom Reset With One Surface","When your room feels busy, reset the desk first. Keep daily essentials, add matching storage, and leave breathing room. Find your personal aesthetic in the free room quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Clean desk reset checklist with pale pink accent","room reset; clean desk; bedroom organization","Room Makeover Tips"
"P021","result teaser","Dark Academia","Does Your Room Need Old-Library Energy?","Books, dark wood, and one perfect amber lamp","Take the quiz","Dark Academia Bedroom Ideas for a Cozy Study Mood","If you love moody color, vintage details, and spaces with a story, Dark Academia may be your room aesthetic. Take the free quiz to reveal your result.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Espresso study corner with books and brass lamp","dark academia room; cozy study room; vintage bedroom","Dark Academia Decor"
"P022","result teaser","Dark Academia","Build a Better Study Corner","Warm light makes the mood","Find my style","Create a Dark Academia Study Corner in 3 Steps","Anchor one corner with a desk or chair, add an amber light, then layer books and classic art. Find out whether Dark Academia is your best room style with the free quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Three-step study corner diagram in brown and forest","study corner ideas; dark academia room; desk decor","Dark Academia Decor"
"P023","result teaser","Dark Academia","Your Blank Wall Wants a Story","Try frames, sketches, and old maps","Take the free quiz","A Dark Academia Gallery Wall That Feels Collected","Plan a gallery wall around a tight palette of brown, cream, forest, and burgundy. Mix art sizes without filling every inch. Take the quiz for your room aesthetic.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Vintage-frame gallery wall plan on cream paper","dark academia wall; gallery wall ideas; vintage decor","Dark Academia Decor"
"P024","result teaser","Dark Academia","Moody Room, Tiny Budget","Books and warm light do more than trendy decor","Reveal my result","Budget Dark Academia Room Ideas","Use books you already own, thrifted frames, and a warmer bulb to build atmosphere before buying major furniture. Find your complete room style with the free quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Budget moodboard with thrift tags and book stack","budget room makeover; dark academia decor; cozy room","Dark Academia Decor"
"P025","result teaser","Dark Academia","Make Studying Feel Cinematic","One focused corner can change the whole room","Find your aesthetic","Dark Academia Study Room Inspiration","A dark accent, classic print, and warm desk lamp can give even a small bedroom a thoughtful old-library mood. Take the free room quiz for personalized ideas.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Rainy-window study scene with readable cream text panel","study room inspiration; dark academia; bedroom ideas","Study Space Ideas"
"P026","result teaser","Soft Girl / Pastel Room","Is Your Dream Room Pastel?","Pick 3 colors before the cute decor takes over","Take the quiz","Soft Girl Pastel Room Aesthetic: Is It Yours?","Blush, lavender, baby blue, and cozy details can feel dreamy when the palette stays intentional. Take the free quiz to find your room aesthetic and first steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Pastel bedroom vignette with three large color circles","pastel room; soft girl room; cute bedroom ideas","Pastel Bedroom Ideas"
"P027","result teaser","Soft Girl / Pastel Room","Cute Room, Clear Color Plan","Two pastels + cream = an easy place to start","Find my palette","How to Choose a Pastel Bedroom Color Palette","Choose two favorite pastels, use cream as breathing room, and repeat the colors in small details. Find your personalized palette direction with the free room quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Simple palette equation with blush, lavender, and cream","pastel bedroom; room color palette; soft girl room","Pastel Bedroom Ideas"
"P028","result teaser","Soft Girl / Pastel Room","Make One Corner Adorable","Start with the bed or desk—not the whole room","Take the quiz","A Simple Soft Girl Room Makeover Starting Point","Choose one focal zone, match a few soft details, and stop before it feels crowded. Take the quiz to see whether Soft Girl / Pastel Room is your aesthetic.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Cute desk focal zone with rounded labels","soft girl room; desk decor; cute room ideas","Pastel Bedroom Ideas"
"P029","result teaser","Soft Girl / Pastel Room","Pastel Without Looking Childish","Use soft color, clean shapes, and less clutter","Find my style","How to Style a Modern Pastel Bedroom","Pair a limited pastel palette with simple furniture and open space for a dreamy room that still feels current. Take the free quiz for your room result.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Modern pastel room with editorial serif and clean grid","pastel room decor; modern bedroom; aesthetic room ideas","Pastel Bedroom Ideas"
"P030","result teaser","Soft Girl / Pastel Room","Your Happy-Place Room Formula","Dreamy color + cozy detail + one cute focal point","Take the free quiz","Build a Soft and Dreamy Bedroom Mood","A soft room works best when every cute detail supports one color story. Find your room aesthetic and a practical three-step plan with this free quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Three-part soft room formula in blush and lavender","dreamy bedroom; soft girl room; cozy room decor","Pastel Bedroom Ideas"
"P031","result teaser","Modern Boho","Are You Modern Boho?","Warm earth tones, natural texture, relaxed light","Find out free","Modern Boho Room Aesthetic: Find Your Result","If your perfect space feels sunny, grounded, and full of texture, Modern Boho may be your room style. Take the free quiz for colors, decor, and first steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Terracotta and sage room with rattan and linen","modern boho bedroom; earthy room decor; cozy room","Modern Boho Decor"
"P032","result teaser","Modern Boho","Create One Cozy Corner","Add light, texture, and something green","Take the quiz","The Easy Modern Boho Cozy-Corner Formula","A warm lamp, woven texture, and one easy-care plant can shift the mood of a small room. Take the quiz to discover your full aesthetic direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Sunlit chair corner with three annotated details","cozy corner ideas; modern boho; plant room decor","Modern Boho Decor"
"P033","result teaser","Modern Boho","Earthy, Not Orange Everywhere","Balance terracotta with cream and sage","Find my palette","A Balanced Modern Boho Color Palette","Use terracotta as an accent, cream as breathing room, and sage or warm wood for balance. Find your best room palette with the free aesthetic quiz.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Terracotta cream sage palette with material swatches","boho color palette; earthy bedroom; room colors","Modern Boho Decor"
"P034","result teaser","Modern Boho","Warm Up a Cold Bedroom","Start with bulbs, fabric, and natural wood","See my style","Three Ways to Make a Bedroom Feel Warmer","Before replacing furniture, swap cool lighting, add a textured layer, and bring in one natural material. Take the free quiz for a room plan that fits your style.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Three warm-up tips on a cream room photo","warm bedroom ideas; room makeover; modern boho","Room Makeover Tips"
"P035","result teaser","Modern Boho","Plant-Filled, Not Plant-Cluttered","Give greenery one intentional zone","Take the quiz","How to Style Plants Without Cluttering Your Room","Group a few plants where they get good light instead of covering every surface. Take the free room aesthetic quiz for your personalized decor direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Three-plant corner with lots of open space","plant room decor; modern boho bedroom; small room","Modern Boho Decor"
"P036","checklist","all","5 Steps Before You Buy More Decor","Plan first. Shop with a point of view.","Save this checklist","Room Decor Checklist: 5 Steps Before You Shop","Pick a palette, choose a focal zone, measure the space, set a budget, and shop your room first. Then take the free quiz to make your style direction even clearer.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Large cream checklist with muted rose checks","room decor checklist; room makeover; bedroom ideas","Room Makeover Tips"
"P037","checklist","all","The $40 Room Reset Plan","One hour. One small budget. A clearer room.","Find your style first","A Simple Low-Budget Room Reset Plan","Clear one surface, improve one light source, and finish one focal zone before buying random decor. Use the free room aesthetic quiz to choose the right direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Budget note card with three large steps","budget room makeover; room reset; room decor checklist","Budget Room Makeovers"
"P038","checklist","all","Your Room Feels Off? Check These 4 Things","Palette · lighting · scale · clutter","Take the quiz","Why Your Bedroom Decor Feels Off","A room can have beautiful pieces and still feel disconnected. Check whether the palette, lighting, furniture scale, or visual clutter needs attention—then find your aesthetic free.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Four-quadrant diagnostic card with room detail photos","bedroom decor tips; room makeover; aesthetic room ideas","Room Makeover Tips"
"P039","checklist","all","The No-Random-Decor Checklist","Know your colors and priorities before checkout","Get my room direction","A Room Decor Shopping Checklist That Prevents Regret","Before you buy, ask whether the item fits your palette, space, focal point, budget, and actual routine. Take the free quiz for a clearer style direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Shopping checklist beside tasteful decor thumbnails","decor shopping list; room decor checklist; budget decor","Room Makeover Tips"
"P040","aesthetic comparison","Cozy Minimalist vs Moody Maximalist","Calm Neutrals or Bold Layers?","Your answer says a lot about your dream room","Pick your side","Cozy Minimalist or Moody Maximalist?","Would you rather have quiet cream layers or a jewel-tone gallery wall? Pick your favorites in the free room quiz and reveal one of six personalized results.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Balanced split-screen neutral and jewel-tone rooms","cozy minimalist; moody maximalist; room aesthetic quiz","Room Aesthetic Ideas"
"P041","dorm room","all","Dorm Room Decor, But Make It You","Find your style before move-in shopping","Take the free quiz","Find Your Dorm Room Aesthetic Before Move-In","A tiny dorm still deserves a clear point of view. Take this free 12-question quiz before shopping and get a palette, decor direction, and three practical starting steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Realistic dorm bed and desk split into style zones","dorm room decor; college dorm room; room aesthetic quiz","College Dorm Room Ideas"
"P042","dorm room","all","Don’t Buy Random Dorm Decor Yet","Start with a palette you can repeat","Find my dorm style","Choose Your Dorm Room Style Before You Shop","A matching room does not require a huge haul. Choose your aesthetic, repeat two or three colors, and focus on the bed, desk, and lighting first.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Dorm shopping moodboard with color-plan overlay","dorm room decor; college dorm room; dorm shopping","College Dorm Room Ideas"
"P043","dorm room","Clean Girl Room","The 3-Zone Dorm Room Reset","Bed · desk · daily essentials","Take the quiz","A Simple Three-Zone Dorm Room Organization Plan","Treat a small dorm as three zones: sleep, study, and daily essentials. Keeping each one clear can make the whole room feel more polished. Find your aesthetic free.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Top-down dorm layout with three softly colored zones","dorm organization; clean girl room; college dorm room","College Dorm Room Ideas"
"P044","dorm room","Cozy Minimalist","Make a Tiny Dorm Feel Calmer","Use fewer colors and warmer light","Find your aesthetic","Cozy Dorm Room Ideas for a Small Space","Choose one neutral base, hide visual clutter, and layer warm light and soft texture. Take the free quiz for a dorm-room direction that feels like you.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Cozy compact dorm in cream and oatmeal","cozy dorm room; small bedroom ideas; dorm decor","College Dorm Room Ideas"
"P045","aesthetic comparison","Clean Girl Room vs Soft Girl / Pastel Room","Clean Girl or Pastel Dream?","Bright and polished—or soft and playful?","Find your result","Clean Girl Room vs Soft Girl Pastel Room","Both styles can be light and feminine, but one loves clear routines while the other loves dreamy color. Take the quiz to see which room aesthetic fits you.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Split pale neutral desk and pastel bed scene","clean girl room; soft girl room; room aesthetic quiz","Room Aesthetic Ideas"
"P046","room makeover","all","Small Room? Find Your Style.","Get a makeover direction in 12 quick questions","Start free","Small Bedroom Makeover Ideas That Start With Your Style","A small bedroom is easier to plan when you know the mood, palette, and focal point you want. Take the free quiz and get three personalized first steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Airy small room with palette and layout labels","small bedroom ideas; room makeover; room aesthetic quiz","Small Bedroom Ideas"
"P047","room makeover","all","Plan Your Dream Room","Palette first. Focal point second. Shopping last.","Get my direction","A Better Order for Planning Your Dream Room","Start with a clear color story, choose the zone that matters most, and only then make a shopping list. The free quiz helps you find the room style behind the plan.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Three-stage makeover roadmap on warm paper","dream room; room makeover plan; room decor checklist","Room Makeover Tips"
"P048","room makeover","all","First Apartment, Fresh Point of View","Make the space yours without buying everything at once","Find my style","Find Your First Apartment Decor Style","A first apartment can grow slowly. Start with the room feeling you want, a repeatable palette, and a short priority list. Take the free room aesthetic quiz for direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Small first-apartment bedroom with unpacked moodboard","first apartment decor; bedroom ideas; room makeover","First Apartment Decor"
"P049","product teaser","all","Your Pinterest Board Needs a Plan","Turn inspiration into clear room-makeover steps","Start with the free quiz","From Room Inspiration to a Real Makeover Plan","The Room Aesthetic Starter Kit is being designed to help you plan your palette, layout, priorities, budget, and shopping list. Start with the free quiz to find your direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Starter Kit page mockups with subtle Coming Soon label","room makeover planner; room decor checklist; moodboard template","Room Makeover Tips"
"P050","product teaser","all","A Room Plan You’ll Actually Use","Checklist, palette, layout, budget, and shopping priorities","Take the quiz first","Meet the Room Aesthetic Starter Kit","Planning a room is easier when every decision connects. Take the free aesthetic quiz now, then use the upcoming Starter Kit to turn your result into a step-by-step plan.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Editorial product flat lay with seven labeled planner pages","room makeover planner; room decor checklist; room aesthetic quiz","Room Makeover Tips"
